Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Singh S.; Singh S.,"Singh, Shweta (59520687600); Singh, Seema (59520798100)",59520687600; 59520798100,Perceptions of Indian Students Towards Bullying; Intervention Through Bullying Intervention Module (BIM),2025,SAGE Open,15,1,,,,,0,10.1177/21582440241305199,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215503179&doi=10.1177%2f21582440241305199&partnerID=40&md5=fcd21738a5c04be941adef5586d00c48,"Bullying, a pernicious affliction that indiscriminately afflicts students of all ages and backgrounds, is a scourge that demands our attention. It involves a pattern of conduct whereby one individual is repeatedly targeted for aggression by one or more others, often due to a power imbalance. In response to this pressing issue, the present study endeavored to address bullying among secondary-level students by implementing a Bullying Intervention Module, while also seeking to explore the root causes and consequences of such behavior. The module, which was designed to raise awareness, promote self-reflection, and foster a commitment to new behaviors, was developed with great care and attention to detail. This study was conducted using a mixed-method approach that combined qualitative and quantitative methods. In the quantitative phase of the study, a quasi-experimental pre-test and posttest with a control group design were employed, with a total of 60 students from class 9th, selected purposively. The findings revealed that the intervention had a significant impact on students’ awareness and behavior in relation to bullying. In the qualitative phase of the study, a semi-structured interview schedule was utilized. The results showed that students perceived financial condition, physical appearance, being different from others, enjoyment, violence, revenge, power, and social media use as major causes of bullying, with the consequences including school absenteeism, drop-outs, low academic achievement, anxiety, stress, depression, shyness, aggression, loneliness, and even suicide. © The Author(s) 2025.",bullying awareness; bullying intervention module; causes; consequences; secondary-level students,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85215503179
Tibber M.S.; Milne G.; Fonagy P.; Dekker T.M.,"Tibber, Marc S. (10143727100); Milne, Georgia (57219187299); Fonagy, Peter (7004981532); Dekker, Tessa M. (36666127500)",10143727100; 57219187299; 7004981532; 36666127500,The online world as a means of connection and disconnection during the COVID-19 pandemic: A test of the interpersonal-connections-behaviour framework,2024,Journal of Affective Disorders,347,,,533,540,7,1,10.1016/j.jad.2023.12.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181700096&doi=10.1016%2fj.jad.2023.12.006&partnerID=40&md5=91ea6b2f2eb592599219e6c45f0db708,"Background: The interpersonal-connections-behaviour framework proposes that social media is helpful/unhelpful to the individual to the extent that it facilitates/hinders satisfaction of core needs for acceptance and belonging (connecting and disconnecting pathways). However, little research has, to date, explicitly tested this framework. Methods: Both pathways were explored in a cross-sectional sample of UK adults at the start of the pandemic (N = 632) and in longitudinal (cross-lagged) analyses (N = 227–240). Participants completed measures of online and offline socialising with friends and family (connecting pathway), and online and offline social comparisons (disconnecting pathway), anxiety, depression and loneliness. Results: In cross-sectional analyses higher levels of online comparisons were associated with poorer mental health, an effect that survived after controlling for offline comparisons, and was partially mediated by loneliness. Counter to our predictions, online socialising was also associated with poorer mental health. Longitudinal analyses did not support predicted directions of causality. Limitations: Limitations include a lack of testing of individual-level moderators, the use of single item questions to probe some constructs, and an inability to test for effects potentially operating at different time-scales. Conclusions: The findings reported partially support the interpersonal-connections-behaviour framework in highlighting a disconnecting (but not connecting) pathway between online engagement and mental health. From a clinical perspective they highlight the importance of including people's online lives when considering mental health risk and resilience, particularly (one might argue) during periods of social isolation. © 2023 The Authors",Anxiety; Depression; Loneliness; Social connection; Social media; Social network site,Adult; Anxiety; COVID-19; Cross-Sectional Studies; Depression; Humans; Loneliness; Pandemics; Social Isolation; adult; aged; anxiety disorder; Article; causality; controlled study; coronavirus disease 2019; cross-sectional study; demographics; depression; ethnicity; family; female; friend; Generalized Anxiety Disorder-7; human; loneliness; longitudinal study; major clinical study; male; mental health; middle aged; pandemic; Patient Health Questionnaire 9; prediction; Revised UCLA Loneliness Scale; social comparison; social connectedness; social isolation; symptomatology; United Kingdom; very elderly; young adult; anxiety; depression; pandemic; psychology,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85181700096
Edler J.-S.; Terhorst Y.; Pryss R.; Baumeister H.; Cohrdes C.,"Edler, Johanna-Sophie (57224318263); Terhorst, Yannik (57195983861); Pryss, Rüdiger (36142027900); Baumeister, Harald (55844241000); Cohrdes, Caroline (55123168500)",57224318263; 57195983861; 36142027900; 55844241000; 55123168500,Messenger Use and Video Calls as Correlates of Depressive and Anxiety Symptoms: Results From the Corona Health App Study of German Adults During the COVID-19 Pandemic,2024,Journal of Medical Internet Research,26,,e45530,,,,0,10.2196/45530,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204073792&doi=10.2196%2f45530&partnerID=40&md5=8d4a90f315aa1b2e35ce883f5248bd7e,"Background: Specialized studies have shown that smartphone-based social interaction data are predictors of depressive and anxiety symptoms. Moreover, at times during the COVID-19 pandemic, social interaction took place primarily remotely. To appropriately test these objective data for their added value for epidemiological research during the pandemic, it is necessary to include established predictors. Objective: Using a comprehensive model, we investigated the extent to which smartphone-based social interaction data contribute to the prediction of depressive and anxiety symptoms, while also taking into account well-established predictors and relevant pandemic-specific factors. Methods: We developed the Corona Health App and obtained participation from 490 Android smartphone users who agreed to allow us to collect smartphone-based social interaction data between July 2020 and February 2021. Using a cross-sectional design, we automatically collected data concerning average app use in terms of the categories video calls and telephony, messenger use, social media use, and SMS text messaging use, as well as pandemic-specific predictors and sociodemographic covariates. We statistically predicted depressive and anxiety symptoms using elastic net regression. To exclude overfitting, we used 10-fold cross-validation. Results: The amount of variance explained (R2) was 0.61 for the prediction of depressive symptoms and 0.57 for the prediction of anxiety symptoms. Of the smartphone-based social interaction data included, only messenger use proved to be a significant negative predictor of depressive and anxiety symptoms. Video calls were negative predictors only for depressive symptoms, and SMS text messaging use was a negative predictor only for anxiety symptoms. Conclusions: The results show the relevance of smartphone-based social interaction data in predicting depressive and anxiety symptoms. However, even taken together in the context of a comprehensive model with well-established predictors, the data only add a small amount of value. ©Johanna-Sophie Edler, Yannik Terhorst, Rüdiger Pryss, Harald Baumeister, Caroline Cohrdes.",anxiety; depression; mobile phone; passive data; predicting mental health,Adult; Aged; Anxiety; COVID-19; Cross-Sectional Studies; Depression; Female; Germany; Humans; Male; Middle Aged; Mobile Applications; Pandemics; SARS-CoV-2; Smartphone; Social Interaction; Social Media; Text Messaging; Young Adult; adult; aged; alcohol consumption; anxiety disorder; Article; controlled study; COPE inventory; coronavirus disease 2019; cross-sectional study; depression; educational status; elastic tissue; employment status; female; Germany; high school; hopelessness; human; least absolute shrinkage and selection operator; lockdown; loneliness; major clinical study; male; mass communication; mean absolute error; measurement error; melancholia; messenger use; middle school; pandemic; physical abuse; root mean squared error; social interaction; social media; social stigma; television viewing; text messaging; videoconferencing; anxiety; coronavirus disease 2019; depression; epidemiology; middle aged; mobile application; psychology; Severe acute respiratory syndrome coronavirus 2; smartphone; social interaction; social media; young adult,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85204073792
Wilding S.; O'Connor D.B.; Ferguson E.; Wetherall K.; Cleare S.; O'Carroll R.E.; Robb K.A.; O'Connor R.C.,"Wilding, Sarah (36834448200); O'Connor, Daryl B. (57221669186); Ferguson, Eamonn (7102858467); Wetherall, Karen (56600569900); Cleare, Seonaid (51863371400); O'Carroll, Ronan E. (7006759100); Robb, Kathryn A. (35619646000); O'Connor, Rory C. (7202869264)",36834448200; 57221669186; 7102858467; 56600569900; 51863371400; 7006759100; 35619646000; 7202869264,"Information seeking, mental health and loneliness: Longitudinal analyses of adults in the UK COVID-19 mental health and wellbeing study",2022,Psychiatry Research,317,,114876,,,,8,10.1016/j.psychres.2022.114876,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139278753&doi=10.1016%2fj.psychres.2022.114876&partnerID=40&md5=90b004156b36c4f7e71874b1da586a67,"Information seeking has generally been seen as an adaptive response to the COVID-19 pandemic. However, it may also result in negative outcomes on mental health. The present study tests whether reporting COVID-related information seeking throughout the pandemic is associated with subsequently poorer mental health outcomes. A quota-based, non-probability-sampling methodology was used to recruit a nationally representative sample. COVID-related information seeking was assessed at six waves along with symptoms of depression, anxiety, mental wellbeing and loneliness (N = 1945). Hierarchical linear modelling was used to assess the relationship between COVID-related information seeking and mental health outcomes. Information seeking was found to reduce over time. Overall, women, older and higher socioeconomic group individuals reported higher levels of information seeking. At waves 1-4 (March-June 2020) the majority of participants reported that they sought information on Covid 1-5 times per day, this decreased to less than once per day in waves 5 and 6 (July-November 2020). Higher levels of information seeking were associated with poorer mental health outcomes, particularly clinically significant levels of anxiety. Use of a non-probability sampling method may have been a study limitation, nevertheless, reducing or managing information seeking behaviour may be one method to reduce anxiety during pandemics and other public health crises. © 2022",Anxiety; Coronavirus; Depression; Isolation; Public health; Social media,Adult; Anxiety; COVID-19; Depression; Female; Humans; Information Seeking Behavior; Loneliness; Mental Health; Pandemics; SARS-CoV-2; United Kingdom; adult; anxiety disorder; Article; controlled study; depression; fatigue; female; generalized anxiety disorder; human; male; pandemic; psychological well-being; public health; scientific literature; social media; social status; social support; wellbeing; anxiety; depression; information seeking; loneliness; mental health; psychology; United Kingdom,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85139278753
Taylor Z.; Yankouskaya A.; Panourgia C.,"Taylor, Zoe (57527198600); Yankouskaya, Ala (55517070500); Panourgia, Constantina (37102329000)",57527198600; 55517070500; 37102329000,"Social media use, loneliness and psychological distress in emerging adults",2024,Behaviour and Information Technology,43,7,,1312,1325,13,5,10.1080/0144929X.2023.2209797,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161915254&doi=10.1080%2f0144929X.2023.2209797&partnerID=40&md5=c760ac98b1a0f21b675810c0e3415721,"Social media plays a dominant role in emerging adults’ lives, with evidence showing that it can contribute to elevated levels of psychological distress. However, existing findings are contradictory, insofar as the connection between social media use (SMU) and psychological distress remains unclear. To gain a better insight into the above relationship, we focused on different styles of engagement with social media (active social, active non-social, and passive) and examined whether their impact on depression, anxiety and stress symptoms is mediated by loneliness. Data were collected via an online survey from 288 emerging adults in the UK. It was found that increased passive SMU was associated with higher anxiety, depression and stress symptoms; loneliness was associated with both SMU and psychological distress, while increased active non-social media use was associated with decreased stress. However, loneliness showed significant mediation effects only on the relation between passive SMU and psychological distress. Limitations, future research directions and suggestions for practice are discussed. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",anxiety; depression; emerging adults; loneliness; Social media use; stress,Anxiety; Depression; Elevated level; Emerging adult; Loneliness; Media use; Online surveys; Psychological distress; Social media; Social medium use; Social networking (online),Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85161915254
Grelle K.; Shrestha N.; Ximenes M.; Perrotte J.; Cordaro M.; Deason R.G.; Howard K.,"Grelle, Kaitlin (57815180200); Shrestha, Neha (57950330800); Ximenes, Megan (57950824700); Perrotte, Jessica (56574178200); Cordaro, Millie (55216714400); Deason, Rebecca G. (8967659400); Howard, Krista (25641340200)",57815180200; 57950330800; 57950824700; 56574178200; 55216714400; 8967659400; 25641340200,"The Generation Gap Revisited: Generational Differences in Mental Health, Maladaptive Coping Behaviors, and Pandemic-Related Concerns During the Initial COVID-19 Pandemic",2023,Journal of Adult Development,30,4,,381,392,11,17,10.1007/s10804-023-09442-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148093744&doi=10.1007%2fs10804-023-09442-x&partnerID=40&md5=ea6e83a063b3ec065ee090c643c35f9e,"The purpose of this study was to assess differences in mental health symptoms, pandemic-related concerns, and maladaptive coping behaviors among adults in the United States across generations during the initial period of the COVID-19 pandemic. A social media campaign was used to recruit 2696 U.S. individuals to participate in an online survey in April 2020, assessing various validated psychosocial factors, including major depressive disorder, generalized anxiety disorder (GAD), perceived stress, loneliness, quality of life, and fatigue, along with pandemic-specific concerns and changes in alcohol use and substance use. Participants were grouped based on generation status (Gen Z, Millennial, Gen X, and Baby Boomer) and statistical comparisons were conducted based on demographics, psychosocial factors, pandemic-related concerns, and substance use. During the initial period of the COVID-19 pandemic, the younger cohorts (Gen Z and Millennials) rated significantly worse on mental health indices, including major depression, GAD, perceived stress, loneliness, quality of life, and fatigue. Further, the participants in the Gen Z and Millennial generational groups exhibited greater increase in maladaptive coping with substance use, specifically alcohol use and increased use of sleep aids. Our results indicate that during the initial period of the COVID-19 pandemic, members of the Gen Z and Millennial generational cohorts were considered a psychologically vulnerable population due to their mental health and maladaptive coping behaviors. Improving access to mental health resources during early stages of a pandemic is an emerging public health concern. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Alcohol use; Anxiety; Baby Boomers; COVID-19 pandemic; Depression; Gen X; Gen Z; Millennials,,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85148093744
Koh J.X.; Liew T.M.,"Koh, Jing Xuan (57219939413); Liew, Tau Ming (56478539800)",57219939413; 56478539800,"How loneliness is talked about in social media during COVID-19 pandemic: Text mining of 4,492 Twitter feeds",2022,Journal of Psychiatric Research,145,,,317,324,7,68,10.1016/j.jpsychires.2020.11.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096156826&doi=10.1016%2fj.jpsychires.2020.11.015&partnerID=40&md5=c68068a338bd06551b0777ec5c47866e,"Background: Loneliness is a public health problem that is expected to rise during the COVID-19 pandemic, given the widespread policy of quarantine. The literature is unclear whether loneliness during COVID-19 is similar to those of non-pandemic seasons. This study examined the expression of loneliness on Twitter during COVID-19 pandemic, and identified key areas of loneliness across diverse communities. Methods: Twitter was searched for feeds that were:(1) in English; (2) posted from May 1, 2020 to July 1, 2020; (3) posted by individual users (not organisations); and (4) contained the words ‘loneliness’ and ‘COVID-19’. A machine-learning approach (Topic Modeling) identified key topics from the Twitter feeds; Hierarchical Modeling identified overarching themes. Variations in the prevalence of the themes were examined over time and across the number of followers of the Twitter users. Results: 4492 Twitter feeds were included and classified into 3 themes: (1) Community impact of loneliness during COVID-19; (2) Social distancing during COVID-19 and its effects on loneliness; and (3) Mental health effects of loneliness during COVID-19. The 3 themes demonstrated temporal variations. Particularly in Europe, Theme 1 showed a drastic reduction over time, with a corresponding rise in Theme 3. The themes also varied across number of followers. Highly influential users were more likely to talk about Theme 3 and less about Theme 2. Conclusions: The findings reflect close-to-real-time public sentiments on loneliness during the COVID-19 pandemic and demonstrated the potential usefulness of social media to keep tabs on evolving mental health issues. It also provides inspiration for potential interventions to address novel problems–such as loneliness–during COVID-19 pandemic. © 2020",COVID-19; Loneliness; Mental health; Natural Language Processing; Social media; Topic modeling; Twitter,COVID-19; Data Mining; Humans; Loneliness; Pandemics; SARS-CoV-2; Social Media; Africa; anxiety disorder; Article; Asia; Australia; controlled study; coping behavior; coronavirus disease 2019; data mining; depression; Europe; geographic distribution; human; loneliness; machine learning; major clinical study; mental health; natural language processing; North America; pandemic; prevalence; social distancing; social interaction; social isolation; social media; South America; thematic analysis; data mining; loneliness; pandemic,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85096156826
Roberts S.G.B.; Malcolm C.; McCarty K.; Pollet T.V.,"Roberts, Sam G.B. (56282025400); Malcolm, Connor (57218455177); McCarty, Kristofor (49561573800); Pollet, Thomas V. (16231030200)",56282025400; 57218455177; 49561573800; 16231030200,No Relationships Between Self-Reported Instagram Use or Type of Use and Mental Well-Being: A Study Using a Nationally Representative Online Sample of UK Adults,2024,Cyberpsychology,18,1,3,,,,0,10.5817/CP2024-1-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189180439&doi=10.5817%2fCP2024-1-3&partnerID=40&md5=a56cfa1ed73e91ee0c7b92aae273718f,"Use of Instagram has grown rapidly in the last decade, but the effects of Instagram use on well-being are still unclear, with many studies based on younger samples with a female bias. The aim of this study was to examine the associations between Instagram use and levels of anxiety, depression, and loneliness in a nationally representative sample of UK adults by age and gender. An online sample of 498 UK adults were recruited using Prolific (Age: M = 49, SD = 15, range 19–82 years old; 52% female, 47% male). Participants stated whether or not they used Instagram, reported their frequency of Broadcast, Interaction and Browsing Instagram use and completed the Revised UCLA Loneliness Scale, and the Hospital Anxiety and Depression Scale. A genetic matching algorithm was used to match Instagram users (n = 372) and non-Instagram users (n = 100) on age, gender, education and nationality. There were no significant differences between users versus non-users of Instagram in levels of anxiety, depression or loneliness. There were also no significant associations between type of Instagram use (Broadcast, Interaction or Browsing) and levels of anxiety, depression or loneliness. The Bayes Factors for these models moderately to strongly supported the null model of no effect for Depression and Loneliness. This research adds to recent findings that suggests that the overall effect of SNSs on well-being may be small to non-existent. Future research should examine how exposure to different types of content on social media are related to well-being. © 2024 Masaryk University. All rights reserved.",active social media use; anxiety; depression; Instagram; loneliness; passive social media use; social media,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85189180439
Bye A.; Carter B.; Leightley D.; Trevillion K.; Liakata M.; Branthonne-Foster S.; Williamson G.; Zenasni Z.; Dutta R.,"Bye, Amanda (55623960200); Carter, Ben (23011254600); Leightley, Daniel (56028042600); Trevillion, Kylee (36093631800); Liakata, Maria (26432031900); Branthonne-Foster, Stella (57208301685); Williamson, Grace (57225977428); Zenasni, Zohra (57203568773); Dutta, Rina (56003431900)",55623960200; 23011254600; 56028042600; 36093631800; 26432031900; 57208301685; 57225977428; 57203568773; 56003431900,"Observational prospective study of social media, smartphone use and self-harm in a clinical sample of young people: Study protocol",2023,BMJ Open,13,2,e069748,,,,3,10.1136/bmjopen-2022-069748,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146972952&doi=10.1136%2fbmjopen-2022-069748&partnerID=40&md5=9a794b83e11ca32a8691973e9ed7796a,"Introduction Young people are the most frequent users of social media and smartphones and there has been an increasing speculation about the potential negative impacts of their use on mental health. This has coincided with a sharp increase in the levels of self-harm in young people. To date, studies researching this potential association are predominantly cross-sectional and reliant on self-report data, which precludes the ability to objectively analyse behaviour over time. This study is one of the first attempts to explore temporal patterns of real-world usage prior to self-harm, to identify whether there are usage patterns associated with an increased risk. Methods and analysis To study the mechanisms by which social media and smartphone use underpin self-harm in a clinical sample of young people, the Social media, Smartphone use and Self-harm in Young People (3S-YP) study uses a prospective, observational study design. Up to 600 young people aged 13-25 years old from secondary mental health services will be recruited and followed for up to 6 months. Primary analysis will compare real-world data in the 7 days leading up to a participant or clinician recorded self-harm episode, to categorise patterns of problematic usage. Secondary analyses will explore potential mediating effects of anxiety, depression, sleep disturbance, loneliness and bullying. Ethics and dissemination This study was approved by the National Research Ethics Service, London - Riverside, as well as by the Joint Research and Development Office of the Institute of Psychiatry, Psychology and Neuroscience and South London and Maudsley NHS Foundation Trust (SLaM), and the SLaM Clinical Research Interactive Search (CRIS) Oversight Committee. The findings from this study will be disseminated through peer-reviewed scientific journals, conferences, websites, social media and stakeholder engagement activities. Trial registration number NCT04601220. © Author(s) (or their employer(s)) 2023. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.",Child & adolescent psychiatry; MENTAL HEALTH; QUALITATIVE RESEARCH; STATISTICS & RESEARCH METHODS; Suicide & self-harm,Adolescent; Adult; Cross-Sectional Studies; Humans; Observational Studies as Topic; Prospective Studies; Self-Injurious Behavior; Smartphone; Social Media; Young Adult; adolescent; adult; anxiety; Article; automutilation; bullying; cell phone use; cohort analysis; depression; female; follow up; human; language; loneliness; male; mental health service; natural language processing; observational study; prospective study; qualitative analysis; sleep disorder; social media; automutilation; cross-sectional study; psychology; smartphone; young adult,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85146972952
Groenestein E.; Willemsen L.; van Koningsbruggen G.M.; Ket H.; Kerkhof P.,"Groenestein, Ellen (57193947957); Willemsen, Lotte (49864745300); van Koningsbruggen, Guido M. (35108421300); Ket, Hans (57209639593); Kerkhof, Peter (55751743487)",57193947957; 49864745300; 35108421300; 57209639593; 55751743487,"The relationship between fear of missing out, digital technology use, and psychological wellbeing: A scoping review of conceptual and empirical issues",2024,PLoS ONE,19,10-Oct,e0308643,,,,0,10.1371/journal.pone.0308643,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205760520&doi=10.1371%2fjournal.pone.0308643&partnerID=40&md5=f1ae8a9da5d3eeefd36b98ecdf52df19,"Given the rise of digital technology and its assumed impact on psychological well-being, this scoping review systematically examines the literature on Fear of Missing Out (FoMO), which is assumed to play a pivotal role in this dynamic. Although adverse effects of FoMO are commonly assumed, there is still no consensus on the nature of the phenomenon or its relations with psychological well-being and digital technology use, making a scoping review essential. To address this need, we comprehensively assess the conceptualizations of the construct of FoMO and its roles in relation to well-being and digital technology use. We conducted a literature search in PubMed, Ebsco/APA PsycINFO, and Web of Science (period 2013 to July 7, 2023), screening 4121 articles at the title and abstract level and assessing 342 full-text articles for eligibility, ultimately including 106 articles. The review revealed a fragmented FoMO literature, emphasizing the need for conceptual clarity to address critical gaps and inconsistencies in existing research. Consensus exists on FoMO's essence-an unpleasant feeling arising from missed social experiences driven by activity comparison. However, debates include FoMO's associated affective states and conceptual boundaries, as well as the need to disentangle FoMO as a trait or state. The review also underscored FoMO's multifaceted roles in well-being and digital technology use, highlighting the need for causal research, theoretical guidance, and unified terminology to advance understanding in the FoMO literature.  © 2024 Groenestein et al.",,Digital Technology; Fear; Humans; Mental Health; Psychological Well-Being; anxiety; Article; assessment of humans; cognition; conceptual thinking; confirmatory factor analysis; depression; digital technology; fear of missing out; human; Internet; life satisfaction; loneliness; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; psychological well-being; questionnaire; self report; social exclusion; social interaction; social media; social well-being; Trait-State Fear of Missing Out Scale; fear; mental health; psychological well-being; psychology,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85205760520
Agarwal A.K.; Mittal J.; Tran A.; Merchant R.; Guntuku S.C.,"Agarwal, Anish K. (55652621400); Mittal, Juhi (57889412500); Tran, Annie (59058154500); Merchant, Raina (14028632100); Guntuku, Sharath Chandra (56090864700)",55652621400; 57889412500; 59058154500; 14028632100; 56090864700,Investigating Social Media to Evaluate Emergency Medicine Physicians' Emotional Well-being during COVID-19,2023,JAMA Network Open,6,5,,E2312708,,,1,10.1001/jamanetworkopen.2023.12708,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158904059&doi=10.1001%2fjamanetworkopen.2023.12708&partnerID=40&md5=efd5e7d57d2d36740262ebd5fe93f2cf,"Importance: Emergency medicine (EM) physicians experience tremendous emotional health strain, which has been exacerbated during COVID-19, and many have taken to social media to express themselves. Objective: To analyze social media content from academic EM physicians and resident physicians to investigate changes in content and language as indicators of their emotional well-being. Design, Setting, and Participants: This cross-sectional study used machine learning and natural language processing of Twitter posts from self-described academic EM physicians and resident physicians between March 2018 and March 2022. Participants included academic EM physicians and resident physicians with publicly accessible posts (at least 300 total words across the posts) from the US counties with the top 10 COVID-19 case burdens. Data analysis was performed from June to September 2022. Exposure: Being an EM physician or resident physician who posted on Twitter. Main Outcomes and Measures: Social media content themes during the prepandemic period, during the pandemic, and across the phases of the pandemic were analyzed. Psychological constructs evaluated included anxiety, anger, depression, and loneliness. Positive and negative language sentiment within posts was measured. Results: This study identified 471 physicians with a total of 198867 posts (mean [SD], 11403 [18998] words across posts; median [IQR], 3445 [1100-11591] words across posts). The top 5 prepandemic themes included free open-access medical education (Cohen d, 0.44; 95% CI, 0.38-0.50), residency education (Cohen d, 0.43; 95% CI, 0.37-0.49), gun violence (Cohen d, 0.37; 95% CI, 0.32-0.44), quality improvement in health care (Cohen d, 0.33; 95% CI, 0.27-0.39), and professional resident associations (Cohen d, 0.33; 95% CI, 0.27-0.39). During the pandemic, themes were significantly related to healthy behaviors during COVID-19 (Cohen d, 0.83; 95% CI, 0.77-0.90), pandemic response (Cohen d, 0.71; 95% CI, 0.65-0.77), vaccines and vaccination (Cohen d, 0.60; 95% CI, 0.53-0.66), unstable housing and homelessness (Cohen d, 0.40; 95% CI, 0.34-0.47), and emotional support for others (Cohen d, 0.40; 95% CI, 0.34-0.46). Across the phases of the pandemic, thematic content within social media posts changed significantly. Compared with the prepandemic period, there was significantly less positive, and concordantly more negative, language used during COVID-19. Estimates of loneliness, anxiety, anger, and depression also increased significantly during COVID-19. Conclusions and Relevance: In this cross-sectional study, key thematic shifts and increases in language related to anxiety, anger, depression, and loneliness were identified in the content posted on social media by academic EM physicians and resident physicians during the pandemic. Social media may provide a real-time and evolving landscape to evaluate thematic content and linguistics related to emotions and sentiment for health care workers.. © 2023 American Medical Association. All rights reserved.",,COVID-19; Cross-Sectional Studies; Emergency Medicine; Emotions; Humans; Physicians; SARS-CoV-2; Social Media; SARS-CoV-2 vaccine; anger; anxiety; Article; controlled study; coronavirus disease 2019; cross-sectional study; data analysis; depression; emergency physician; emotional support; emotional well-being; health behavior; health care quality; homelessness; housing instability; human; language; loneliness; machine learning; medical education; natural language processing; open access; pandemic; physician attitude; psychological well-being; residency education; resident; social media; total quality management; vaccination; coronavirus disease 2019; emergency medicine; emotion; physician; psychology; Severe acute respiratory syndrome coronavirus 2,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85158904059
Hammad M.A.; Awed H.S.,"Hammad, Mohammad Ahmed (57222464712); Awed, Huda Shaaban (57224797175)",57222464712; 57224797175,Investigating the relationship between social media addiction and mental health,2023,Nurture,17,3,,149,156,7,2,10.55951/NURTURE.V17I3.282,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162097664&doi=10.55951%2fNURTURE.V17I3.282&partnerID=40&md5=b6de3688c1e7f44131d75ba847b311ba,"Objective: The main objective of this study was to determine the percentage of young people addicted to social media at Najran University. A significant rise in mental health problems among young people has led to increased interest in the relationship between social media and mental health. Therefore, it was important to identify the relationship between social media use and mental health in young people. Design/Methodology/Approach: Data was collected from 330 students at Najran University. The average age of the sample ranged from M = 21.1 years to SD = 2.52 years. The Bergen Social Media Addiction Scale, the Centre for Epidemiological Studies Depression Scale and the De Jong Gierveld 6-item loneliness scale were used. Results: The results showed that 60.30% of the participants are addicted to social media. Statistically significant differences were also found between social media addicts and non-social media addicts. Linear regression analysis also showed that internet addiction could be predicted by the variables depression, anxiety and loneliness. Conclusion: The results indicate the importance of spreading psychological awareness of the risks associated with social media addiction and the psychological damage it brings. Organising seminars and awareness lectures on the impact of social media addiction on students. © 2023 by the authors. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).",Anxiety; Depression; Psychological loneliness; Saudi society; Social media; Youth,,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85162097664
